MAG,LAT,LON,DEPTH,EVID
3.6000,37.9290,-122.2900,10.0000,3245360
3.7200,35.7800,-117.6840,4.2000,3245375
4.1500,35.7310,-117.6220,9.8000,3245779
3.0800,33.2950,-116.3220,13.8000,3245829
3.2300,34.2860,-118.6780,8.0000,3246064
3.4300,34.3760,-119.0490,14.8000,3246093
3.4400,34.0350,-118.9350,14.0000,3246329
3.3200,35.5810,-118.3830,1.4000,3246523
3.0000,36.9710,-121.4620,5.0000,3246692
3.3000,36.9770,-121.4680,5.0000,7011278
3.7000,36.9810,-121.4700,4.0000,7011282
4.1000,36.9810,-121.4720,4.0000,7011283
3.4000,36.9790,-121.4690,4.0000,7011284
3.1100,35.7360,-117.6370,3.7000,7011514
3.2500,33.5700,-117.1030,11.9000,3246869
3.3900,34.3850,-116.4550,1.6000,3246977
3.0000,36.9030,-121.4670,8.0000,3247208
4.5000,38.7530,-119.5370,5.0000,3247253
3.0000,38.7350,-119.5750,5.0000,3247269
4.5000,38.7810,-119.5270,5.0000,3247335
3.0000,38.7130,-119.6290,5.0000,3247394
3.3000,36.8110,-121.5470,8.0000,3247560
3.3000,38.7620,-119.5450,5.0000,3247580
3.3000,38.8140,-119.5450,5.0000,3247589
3.8400,33.1750,-115.6010,2.7000,3247608
3.2500,33.7030,-116.7670,14.7000,3247634
3.0000,38.7180,-119.6290,5.0000,3247736
4.2000,34.2450,-118.5990,6.0000,3247748
3.1000,36.5640,-121.1520,4.0000,3247758
3.2400,32.7790,-115.4590,15.9000,3247785
3.1000,33.2000,-115.6040,1.5000,3247790
3.0800,34.6040,-116.6320,3.8000,3247825
3.0100,34.2330,-117.4600,14.6000,3247877
4.5000,38.7770,-119.5490,5.0000,3247894
3.2000,38.7610,-119.5840,5.0000,3247903
3.6000,38.7700,-119.5720,5.0000,3247904
3.0000,38.7430,-119.5770,5.0000,3247936
3.1000,38.7140,-119.6020,5.0000,3248047
3.1000,38.6960,-119.5940,5.0000,3248052
3.4000,38.7230,-119.6170,5.0000,3248059
3.5200,32.7050,-115.9460,1.9000,3248118
4.0900,35.0980,-118.3060,7.9000,3248154
3.2900,35.0970,-118.3050,8.7000,3248159
3.2800,37.5410,-118.8610,5.4000,3248172
3.1000,37.5360,-118.8700,9.0000,3248195
3.2000,38.7630,-119.5720,5.0000,3248197
3.0000,38.7700,-119.5510,5.0000,3248260
3.4400,34.3340,-118.6000,15.2000,3248264
3.4000,37.1860,-121.5810,7.0000,3248346
3.3700,35.0230,-116.9560,0.8000,3248466
3.0000,36.5870,-121.1790,3.0000,3248845
3.8400,33.9440,-116.3680,7.0000,3248652
3.3000,38.7180,-119.5840,5.0000,3248810
3.8000,36.4710,-117.5930,6.0000,3248836
5.1700,35.7610,-117.6460,4.0000,3248846
3.0100,35.7680,-117.6470,5.5000,3248856
3.2100,35.7550,-117.6400,5.5000,3249285
3.2400,35.7620,-117.6450,6.2000,3249292
3.2500,35.7730,-117.6400,6.8000,3249332
3.1700,35.7620,-117.6320,5.0000,3248858
3.4200,35.7700,-117.6530,6.6000,3248873
3.5800,35.7620,-117.6430,3.2000,3248879
3.1100,35.7670,-117.6530,7.4000,3248903
3.1000,38.7610,-119.5610,5.0000,3249097
4.1600,35.7550,-117.6200,1.9000,3249165
4.3600,35.7790,-117.6360,2.7000,3249191
4.2400,35.7990,-117.6320,2.5000,3249318
3.7400,35.7740,-117.6350,3.5000,3249235
3.0700,35.7840,-117.6440,5.5000,3249236
3.0800,35.7790,-117.6390,5.2000,3249252
3.6400,35.7620,-117.6450,3.2000,3249348
3.3000,35.7750,-117.6390,5.3000,3249479
3.1300,35.7610,-117.6340,5.4000,3249578
3.2000,36.8180,-121.5390,6.0000,3249609
3.6000,36.8120,-121.5330,6.0000,3249628
3.3600,36.0200,-120.0090,6.0000,3249876
3.0600,35.7330,-117.6310,5.5000,3249896
3.0500,35.7840,-117.6370,5.1000,3249897
3.2300,35.7280,-117.6210,11.0000,3249899
3.4900,35.7510,-117.6350,3.6000,3249902
4.1900,34.9940,-116.9430,7.1000,3249913
3.1900,36.5210,-120.4720,6.0000,3249970
3.0000,38.7300,-119.5460,5.0000,3249999
3.6200,35.7840,-117.6550,3.8000,3250030
3.0900,32.2790,-115.3520,6.0000,3250202
3.0400,36.1440,-119.9380,6.0000,3250103
3.6100,34.3630,-118.4480,4.4000,3250324
3.4000,36.6910,-121.3180,5.0000,3250551
3.3300,35.7420,-117.6200,5.3000,3250696
3.0700,34.2200,-116.9190,3.9000,3250740
3.4200,34.2420,-116.8290,7.4000,3250955
3.1100,35.7450,-117.6180,5.2000,3251076
3.1000,38.7000,-119.5840,5.0000,3251237
3.2400,34.0960,-116.4450,8.2000,3251401
3.0700,34.9210,-119.5620,11.8000,3251783
3.5700,34.1630,-116.4460,2.0000,3251903
4.1800,35.7890,-117.6640,4.7000,3252027
3.9000,34.3360,-118.4780,10.8000,3252559
3.1200,35.7710,-117.6200,3.0000,3252613
3.2500,34.3080,-116.4550,2.5000,3252654
3.4000,35.9190,-114.6790,5.0000,3252716
4.0000,39.9770,-120.8390,5.0000,3253908
3.6100,35.0300,-116.9620,3.7000,3253210
3.5800,34.3720,-116.4630,0.9000,3253994
3.0000,36.8820,-121.6150,6.0000,3254585
3.3500,37.6040,-118.8850,6.0000,3254714
3.5000,37.6100,-118.8840,6.6000,3255377
3.0200,37.5810,-118.9100,6.0000,3254787
3.9800,37.6230,-118.8800,6.0000,3254738
3.0400,32.7680,-115.4510,8.0000,3254786
3.0800,37.6080,-118.8930,6.0000,3254902
3.9600,37.6260,-118.8770,6.0000,3254949
3.5900,37.5120,-118.8530,5.5000,3255180
3.3600,37.5190,-118.8720,5.2000,3255273
3.1300,34.6340,-116.5140,7.0000,3255214
3.8100,34.3900,-116.4580,2.9000,3255477
3.2000,38.7380,-119.5930,5.0000,3255726
3.3500,34.0980,-117.4910,14.6000,3255807
3.3100,32.3150,-115.2230,6.0000,3256165
3.0500,37.5000,-118.8620,6.0000,3256249
3.1000,34.1520,-117.7340,11.1000,3256349
3.1000,38.7390,-119.5490,5.0000,3256539
3.1000,38.7160,-119.5780,5.0000,3256562
3.4000,38.7620,-119.5250,5.0000,3256695
3.8000,38.7950,-119.5420,5.0000,3257617
3.2600,34.3490,-116.4680,4.3000,3257703
3.3000,37.6390,-118.8280,9.0000,3257952
3.0000,36.6880,-121.3150,5.0000,3258392
3.3000,36.6780,-121.2970,5.0000,3258414
3.0000,36.6930,-121.3190,5.0000,3258416
3.2000,37.6390,-118.9540,9.0000,3258475
3.7200,37.6300,-118.9370,6.0000,3258476
4.1100,34.3620,-118.6150,13.0000,3258844
3.6000,36.6920,-121.3190,5.0000,3258853
3.2000,36.6950,-121.3220,4.0000,3259094
3.2000,34.2360,-118.6050,18.9000,3259403
3.1000,37.6140,-118.8540,6.0000,3259637
4.3000,37.6330,-118.8410,6.0000,3259770
3.0300,37.6310,-118.8400,6.0000,3259790
3.1000,37.6320,-118.8450,6.0000,3259791
3.9300,37.6230,-118.8470,6.0000,3259806
3.2300,37.6290,-118.8540,9.0000,3259850
3.7700,37.5720,-118.8770,0.0000,3259865
3.7400,37.6230,-118.8640,6.0000,3259866
3.4000,37.6270,-118.8640,9.0000,3259869
3.0200,37.6160,-118.8590,6.0000,3259917
3.7000,37.6260,-118.8680,9.0000,3259944
4.4100,37.6340,-118.8480,5.5000,3259956
3.4400,37.5690,-118.9080,6.0000,3260455
3.1500,37.6270,-118.8650,7.0000,3260031
4.1200,37.6330,-118.8640,6.0000,3260038
3.6000,37.6240,-118.8750,7.0000,3260094
3.4000,37.5900,-118.8880,3.0000,3260549
3.0000,37.6130,-118.8800,3.0000,3260117
3.4000,37.6420,-118.8570,6.0000,3260156
3.4200,37.6200,-118.8630,7.0000,3260164
3.2000,37.6170,-118.8800,6.0000,3260174
3.7700,37.6270,-118.8600,6.0000,3260219
3.3000,38.8180,-117.9260,5.0000,3260220
3.7000,37.6280,-118.8720,6.0000,3260266
4.2700,37.6330,-118.8670,5.5000,3260269
3.9900,37.6240,-118.8480,6.0000,3260326
4.2700,37.6410,-118.8290,6.0000,3260327
